"study_id","estimand_id","target","k","removal_fraction","direction","beta_original","beta_mis","delta_mis","abs_delta_mis","relative_change_mis","valid_mis","refit_error_mis","nested_mis","mis_positions","mis_ids","N","beta_after","delta_beta","abs_delta_beta","relative_change","nested","valid_refit","refit_error"
"03_WbHS","table5_fu1_selfesteem_all","treatment",1,0.00157728706624606,"Increase",0.231708688059905,0.220685030288413,-0.0110236577714919,0.0110236577714919,0.0475755046726683,TRUE,,,"525","2239",634,0.220685030288413,-0.0110236577714919,0.0110236577714919,0.0475755046726683,,TRUE,
"03_WbHS","table5_fu1_selfesteem_all","treatment",2,0.00315457413249211,"Increase",0.231708688059905,0.211817330693666,-0.019891357366239,0.019891357366239,0.0858464027947729,TRUE,,TRUE,"525;103","2239;1243",634,0.211817330693666,-0.019891357366239,0.019891357366239,0.0858464027947729,TRUE,TRUE,
"03_WbHS","table5_fu1_selfesteem_all","treatment",3,0.00473186119873817,"Increase",0.231708688059905,0.204308841443869,-0.0273998466160358,0.0273998466160358,0.118251269926279,TRUE,,TRUE,"525;103;178","2239;1243;1431",634,0.204308841443869,-0.0273998466160358,0.0273998466160358,0.118251269926279,TRUE,TRUE,
"03_WbHS","table5_fu1_selfesteem_all","treatment",4,0.00630914826498423,"Increase",0.231708688059905,0.196621315109622,-0.0350873729502834,0.0350873729502834,0.151428818850383,TRUE,,TRUE,"525;103;178;151","2239;1243;1431;1358",634,0.196621315109622,-0.0350873729502834,0.0350873729502834,0.151428818850383,TRUE,TRUE,
"03_WbHS","table5_fu1_selfesteem_all","treatment",5,0.00788643533123028,"Increase",0.231708688059905,0.188829368001329,-0.0428793200585763,0.0428793200585763,0.185057023185468,TRUE,,TRUE,"525;103;178;151;203","2239;1243;1431;1358;1475",634,0.188829368001329,-0.0428793200585763,0.0428793200585763,0.185057023185468,TRUE,TRUE,
"03_WbHS","table5_fu1_selfesteem_all","treatment",6,0.00946372239747634,"Increase",0.231708688059905,0.180685234187292,-0.0510234538726132,0.0510234538726132,0.22020518220457,TRUE,,TRUE,"525;103;178;151;203;550","2239;1243;1431;1358;1475;2284",634,0.180685234187292,-0.0510234538726132,0.0510234538726132,0.22020518220457,TRUE,TRUE,
"03_WbHS","table5_fu1_selfesteem_all","treatment",7,0.0110410094637224,"Increase",0.231708688059905,0.173050045263331,-0.0586586427965741,0.0586586427965741,0.253156855220762,TRUE,,TRUE,"525;103;178;151;203;550;512","2239;1243;1431;1358;1475;2284;2211",634,0.173050045263331,-0.0586586427965741,0.0586586427965741,0.253156855220762,TRUE,TRUE,
"03_WbHS","table5_fu1_selfesteem_all","treatment",8,0.0126182965299685,"Increase",0.231708688059905,0.166076897137848,-0.065631790922057,0.065631790922057,0.283251316433542,TRUE,,TRUE,"525;103;178;151;550;203;512;76","2239;1243;1431;1358;2284;1475;2211;1189",634,0.166076897137848,-0.065631790922057,0.065631790922057,0.283251316433542,TRUE,TRUE,
"03_WbHS","table5_fu1_selfesteem_all","treatment",9,0.0141955835962145,"Increase",0.231708688059905,0.159059523711549,-0.0726491643483563,0.0726491643483563,0.313536643604722,TRUE,,TRUE,"525;103;178;151;550;203;76;512;337","2239;1243;1431;1358;2284;1475;1189;2211;1811",634,0.159059523711549,-0.0726491643483563,0.0726491643483563,0.313536643604722,TRUE,TRUE,
"03_WbHS","table5_fu1_selfesteem_all","treatment",10,0.0157728706624606,"Increase",0.231708688059905,0.152003226067104,-0.0797054619928016,0.0797054619928016,0.343989958512884,TRUE,,TRUE,"525;103;178;151;550;203;76;512;337;159","2239;1243;1431;1358;2284;1475;1189;2211;1811;1389",634,0.152003226067104,-0.0797054619928016,0.0797054619928016,0.343989958512884,TRUE,TRUE,
