"study_id","estimand_id","target","k","removal_fraction","direction","beta_original","beta_mis","delta_mis","abs_delta_mis","relative_change_mis","valid_mis","refit_error_mis","nested_mis","mis_positions","mis_ids","N","beta_after","delta_beta","abs_delta_beta","relative_change","nested","valid_refit","refit_error"
"05_TPCvIKT","food_no_controls_inkind_minus_equal_value_cash","ik_minus_eq_cash",1,0.0000910332271279017,"Increase",-0.886054886836973,-3.01359752921235,-2.12754264237537,2.12754264237537,2.40114091573971,TRUE,,,"10614","VER302925__wave_1",10985,-3.01359752921235,-2.12754264237537,2.12754264237537,2.40114091573971,,TRUE,
"05_TPCvIKT","food_no_controls_inkind_minus_equal_value_cash","ik_minus_eq_cash",2,0.000182066454255803,"Increase",-0.886054886836973,-4.28366968798036,-3.39761480114339,3.39761480114339,3.83454213911302,TRUE,,TRUE,"10614;547","VER302925__wave_1;CHI070299__wave_1",10985,-4.28366968798036,-3.39761480114339,3.39761480114339,3.83454213911302,TRUE,TRUE,
"05_TPCvIKT","food_no_controls_inkind_minus_equal_value_cash","ik_minus_eq_cash",3,0.000273099681383705,"Increase",-0.886054886836973,-5.28207686516089,-4.39602197832392,4.39602197832392,4.96134273805179,TRUE,,TRUE,"10614;547;7307","VER302925__wave_1;CHI070299__wave_1;VER300927__wave_1",10985,-5.28207686516089,-4.39602197832392,4.39602197832392,4.96134273805179,TRUE,TRUE,
"05_TPCvIKT","food_no_controls_inkind_minus_equal_value_cash","ik_minus_eq_cash",4,0.000364132908511607,"Increase",-0.886054886836973,-6.2150616435847,-5.32900675674773,5.32900675674773,6.01430773185073,TRUE,,TRUE,"10614;547;7307;7173","VER302925__wave_1;CHI070299__wave_1;VER300927__wave_1;VER300846__wave_1",10985,-6.2150616435847,-5.32900675674773,5.32900675674773,6.01430773185073,TRUE,TRUE,
"05_TPCvIKT","food_no_controls_inkind_minus_equal_value_cash","ik_minus_eq_cash",5,0.000455166135639508,"Increase",-0.886054886836973,-7.10356957432032,-6.21751468748334,6.21751468748334,7.01707623291661,TRUE,,TRUE,"10614;547;7307;7173;7942","VER302925__wave_1;CHI070299__wave_1;VER300927__wave_1;VER300846__wave_1;VER301279__wave_1",10985,-7.10356957432032,-6.21751468748334,6.21751468748334,7.01707623291661,TRUE,TRUE,
"05_TPCvIKT","food_no_controls_inkind_minus_equal_value_cash","ik_minus_eq_cash",6,0.00054619936276741,"Increase",-0.886054886836973,-7.96581278826034,-7.07975790142336,7.07975790142336,7.99020242041279,TRUE,,TRUE,"10614;547;7307;7173;7942;10602","VER302925__wave_1;CHI070299__wave_1;VER300927__wave_1;VER300846__wave_1;VER301279__wave_1;VER302917__wave_1",10985,-7.96581278826034,-7.07975790142336,7.07975790142336,7.99020242041279,TRUE,TRUE,
"05_TPCvIKT","food_no_controls_inkind_minus_equal_value_cash","ik_minus_eq_cash",7,0.000637232589895312,"Increase",-0.886054886836973,-8.76456694230092,-7.87851205546394,7.87851205546394,8.8916749656317,TRUE,,TRUE,"10614;547;7307;7173;7942;10602;7209","VER302925__wave_1;CHI070299__wave_1;VER300927__wave_1;VER300846__wave_1;VER301279__wave_1;VER302917__wave_1;VER300868__wave_1",10985,-8.76456694230092,-7.87851205546394,7.87851205546394,8.8916749656317,TRUE,TRUE,
"05_TPCvIKT","food_no_controls_inkind_minus_equal_value_cash","ik_minus_eq_cash",8,0.000728265817023213,"Increase",-0.886054886836973,-9.55555313620789,-8.66949824937092,8.66949824937092,9.78438060459118,TRUE,,TRUE,"10614;547;7307;7173;7942;10602;7209;10578","VER302925__wave_1;CHI070299__wave_1;VER300927__wave_1;VER300846__wave_1;VER301279__wave_1;VER302917__wave_1;VER300868__wave_1;VER302902__wave_1",10985,-9.55555313620789,-8.66949824937092,8.66949824937092,9.78438060459118,TRUE,TRUE,
"05_TPCvIKT","food_no_controls_inkind_minus_equal_value_cash","ik_minus_eq_cash",9,0.000819299044151115,"Increase",-0.886054886836973,-10.3460247993216,-9.45996991248467,9.45996991248467,10.6765055449948,TRUE,,TRUE,"10614;547;7307;7173;7942;10602;7209;10578;1769","VER302925__wave_1;CHI070299__wave_1;VER300927__wave_1;VER300846__wave_1;VER301279__wave_1;VER302917__wave_1;VER300868__wave_1;VER302902__wave_1;CHI071050__wave_1",10985,-10.3460247993216,-9.45996991248467,9.45996991248467,10.6765055449948,TRUE,TRUE,
"05_TPCvIKT","food_no_controls_inkind_minus_equal_value_cash","ik_minus_eq_cash",10,0.000910332271279017,"Increase",-0.886054886836973,-11.1255536661993,-10.2394987793623,10.2394987793623,11.5562804646506,TRUE,,TRUE,"10614;547;7307;7173;7942;10602;7209;10578;1769;10038","VER302925__wave_1;CHI070299__wave_1;VER300927__wave_1;VER300846__wave_1;VER301279__wave_1;VER302917__wave_1;VER300868__wave_1;VER302902__wave_1;CHI071050__wave_1;VER302538__wave_2",10985,-11.1255536661993,-10.2394987793623,10.2394987793623,11.5562804646506,TRUE,TRUE,
