"study_id","estimand_id","target","k","removal_fraction","direction","position","observation_id","model_row_position"
"10_TPoI","tableA5_price_support_distribution_information","T1",1,0.000549752611324904,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",2,0.00109950522264981,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",2,0.00109950522264981,"Increase",7,10,7
"10_TPoI","tableA5_price_support_distribution_information","T1",3,0.00164925783397471,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",3,0.00164925783397471,"Increase",7,10,7
"10_TPoI","tableA5_price_support_distribution_information","T1",3,0.00164925783397471,"Increase",18,27,18
"10_TPoI","tableA5_price_support_distribution_information","T1",4,0.00219901044529962,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",4,0.00219901044529962,"Increase",7,10,7
"10_TPoI","tableA5_price_support_distribution_information","T1",4,0.00219901044529962,"Increase",18,27,18
"10_TPoI","tableA5_price_support_distribution_information","T1",4,0.00219901044529962,"Increase",45,60,45
"10_TPoI","tableA5_price_support_distribution_information","T1",5,0.00274876305662452,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",5,0.00274876305662452,"Increase",7,10,7
"10_TPoI","tableA5_price_support_distribution_information","T1",5,0.00274876305662452,"Increase",18,27,18
"10_TPoI","tableA5_price_support_distribution_information","T1",5,0.00274876305662452,"Increase",45,60,45
"10_TPoI","tableA5_price_support_distribution_information","T1",5,0.00274876305662452,"Increase",49,66,49
"10_TPoI","tableA5_price_support_distribution_information","T1",6,0.00329851566794942,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",6,0.00329851566794942,"Increase",7,10,7
"10_TPoI","tableA5_price_support_distribution_information","T1",6,0.00329851566794942,"Increase",18,27,18
"10_TPoI","tableA5_price_support_distribution_information","T1",6,0.00329851566794942,"Increase",45,60,45
"10_TPoI","tableA5_price_support_distribution_information","T1",6,0.00329851566794942,"Increase",49,66,49
"10_TPoI","tableA5_price_support_distribution_information","T1",6,0.00329851566794942,"Increase",59,79,59
"10_TPoI","tableA5_price_support_distribution_information","T1",7,0.00384826827927433,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",7,0.00384826827927433,"Increase",7,10,7
"10_TPoI","tableA5_price_support_distribution_information","T1",7,0.00384826827927433,"Increase",18,27,18
"10_TPoI","tableA5_price_support_distribution_information","T1",7,0.00384826827927433,"Increase",45,60,45
"10_TPoI","tableA5_price_support_distribution_information","T1",7,0.00384826827927433,"Increase",49,66,49
"10_TPoI","tableA5_price_support_distribution_information","T1",7,0.00384826827927433,"Increase",59,79,59
"10_TPoI","tableA5_price_support_distribution_information","T1",7,0.00384826827927433,"Increase",62,84,62
"10_TPoI","tableA5_price_support_distribution_information","T1",8,0.00439802089059923,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",8,0.00439802089059923,"Increase",7,10,7
"10_TPoI","tableA5_price_support_distribution_information","T1",8,0.00439802089059923,"Increase",18,27,18
"10_TPoI","tableA5_price_support_distribution_information","T1",8,0.00439802089059923,"Increase",45,60,45
"10_TPoI","tableA5_price_support_distribution_information","T1",8,0.00439802089059923,"Increase",49,66,49
"10_TPoI","tableA5_price_support_distribution_information","T1",8,0.00439802089059923,"Increase",59,79,59
"10_TPoI","tableA5_price_support_distribution_information","T1",8,0.00439802089059923,"Increase",62,84,62
"10_TPoI","tableA5_price_support_distribution_information","T1",8,0.00439802089059923,"Increase",74,97,74
"10_TPoI","tableA5_price_support_distribution_information","T1",9,0.00494777350192413,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",9,0.00494777350192413,"Increase",7,10,7
"10_TPoI","tableA5_price_support_distribution_information","T1",9,0.00494777350192413,"Increase",18,27,18
"10_TPoI","tableA5_price_support_distribution_information","T1",9,0.00494777350192413,"Increase",45,60,45
